event_id,year,final_loss,fit_t0,fit_tE,fit_u0,fit_fbl,fit_I0,true_Tmax,true_tau,true_umin,true_fbl,true_I_bl
2017_1408,2017,0.0010640397667884827,2457973.75,22.452865600585938,0.7731018662452698,0.7451286911964417,18.11249542236328,2457972.68,40.038,0.28,0.168,18.107
2017_1496,2017,0.0014006814453750849,2457967.5,8.30643367767334,0.5053881406784058,0.4923219084739685,18.093456268310547,2457969.964,23.403,0.1,0.114,18.098
2017_1518,2017,0.006495549343526363,2457973.5,6.863691806793213,0.15293198823928833,0.2528086006641388,18.841196060180664,2457973.808,9.613,0.105,0.172,18.844
2017_1560,2017,0.0009938307339325547,2458014.5,36.1032829284668,0.8658645153045654,0.809460461139679,18.459327697753906,2458020.369,68.717,0.442,0.304,18.485
2017_1563,2017,0.0028019060846418142,2457985.5,7.148138523101807,0.49425700306892395,0.9176663160324097,18.536972045898438,2457985.322,7.998,0.375,0.618,18.53
2017_1569,2017,0.016441334038972855,2457982.5,36.69450759887695,0.016001341864466667,0.02345786616206169,19.34441566467285,2457982.314,10.255,0.048,0.065,19.262
2017_1583,2017,0.002368824789300561,2458026.5,72.77063751220703,0.1772381216287613,0.1459091603755951,17.922706604003906,2458025.104,100.409,0.116,0.089,17.925
2017_1604,2017,0.0003446734044700861,2458016.5,21.11688804626465,0.33843475580215454,0.5153705477714539,17.20425796508789,2458016.408,22.156,0.317,0.474,17.205
2017_1609,2017,0.0018545459024608135,2458003.5,19.16265106201172,0.5668143033981323,0.9160610437393188,18.138065338134766,2458005.066,28.789,0.317,0.416,18.152
2017_1616,2017,0.0033689059782773256,2457991.5,6.286769390106201,0.48944544792175293,0.9653275012969971,18.395126342773438,2457992.441,10.64,0.268,0.435,18.417
2017_1632,2017,3.250415829825215e-05,2458026.5,40.934879302978516,1.4533723592758179,0.6956218481063843,15.090301513671875,2458035.882,125.815,0.3,0.05,15.094
2017_1699,2017,0.003132698591798544,2458003.5,13.952180862426758,0.0536184087395668,0.07744929939508438,18.33987808227539,2458003.519,24.174,0.029,0.041,18.335
2017_1741,2017,0.0060215238481760025,2458026.75,17.533620834350586,0.03637777641415596,0.9519994854927063,19.189022064208984,2458026.492,22.062,0.025,0.661,19.191
2017_1809,2017,0.0012885724427178502,2458041.5,100.8255615234375,0.10759174078702927,0.14058949053287506,18.611351013183594,2458039.797,124.316,0.078,0.097,18.615
2018_0013,2018,0.0003285453130956739,2458185.75,29.46270751953125,0.9295704364776611,0.8010555505752563,15.717103958129883,2458182.353,26.64,0.771,0.602,15.719
2018_0055,2018,0.0028524172957986593,2458165.75,2.780200481414795,0.34131017327308655,0.8780290484428406,18.31119155883789,2458165.477,14.479,0.0,0.049,18.317
2018_0066,2018,0.00660742400214076,2458169.75,17.45644760131836,0.4986213743686676,0.9662068486213684,18.484434127807617,2458168.524,21.384,0.298,0.448,18.461
2018_0102,2018,0.008135649375617504,2458170.75,10.31401538848877,0.31020909547805786,0.9813445806503296,18.40683937072754,2458170.496,11.126,0.27,0.75,18.359
2018_0106,2018,0.00036654924042522907,2458184.0,35.61058807373047,0.6529496908187866,0.8419062495231628,17.295785903930664,2458183.394,57.37,0.32,0.285,17.282
2018_0121,2018,0.001393226906657219,2458165.0,2.568263292312622,0.20231391489505768,0.5092675685882568,18.193204879760742,2458164.732,2.606,0.177,0.454,18.183
2018_0127,2018,0.0015799676766619086,2458176.75,29.150714874267578,0.17942653596401215,0.9493958353996277,18.14046859741211,2458177.461,36.808,0.136,0.714,18.14
2018_0131,2018,0.002280685119330883,2458171.75,16.076066970825195,0.08897517621517181,0.9116066694259644,18.481792449951172,2458171.933,29.715,0.041,0.424,18.483
2018_0138,2018,0.0003578629984986037,2458166.0,7.417325019836426,0.8383715748786926,0.8070309162139893,16.602554321289062,2458166.133,22.371,0.341,0.162,16.582
2018_0261,2018,0.00014116705278865993,2458278.75,68.013427734375,0.5122185349464417,0.8743478655815125,15.956007957458496,2458277.483,70.823,0.464,0.759,15.958
2018_0293,2018,0.00022596176131628454,2458185.0,56.378658294677734,0.04379107430577278,0.21090830862522125,16.05896759033203,2458189.245,28.386,0.046,0.903,16.059
2018_0306,2018,0.010209579952061176,2458185.75,5.835470199584961,0.2053627371788025,0.26521584391593933,18.765605926513672,2458186.593,41.212,0.0,0.032,18.764
2018_0368,2018,0.003441127249971032,2458197.0,13.640864372253418,0.08951633423566818,0.377580851316452,18.70001220703125,2458196.725,12.887,0.091,0.373,18.689
2018_0375,2018,2.6725521820480935e-05,2458256.75,68.59253692626953,1.5396519899368286,0.7172399759292603,15.241781234741211,2458252.2,80.333,1.144,0.348,15.24
2018_0377,2018,0.008242097683250904,2458202.75,25.425735473632812,0.11967941373586655,0.4262557029724121,19.229862213134766,2458202.519,21.517,0.137,0.471,19.172
2018_0379,2018,0.0013715563109144568,2458191.75,5.665091514587402,0.6144424080848694,0.7528291344642639,18.149391174316406,2458191.872,30.969,0.06,0.044,18.162
2018_0383,2018,0.002118209609761834,2458198.75,3.094005823135376,0.3918464481830597,0.7061745524406433,15.475266456604004,2458199.239,7.237,0.116,0.185,15.485
2018_0415,2018,0.0002587713534012437,2458195.0,10.974096298217773,0.6275262832641602,0.807033896446228,17.46087074279785,2458194.617,19.061,0.242,0.208,17.458
2018_0421,2018,6.557854794664308e-05,2458224.0,16.09313201904297,0.08731330186128616,0.9733445048332214,15.86884880065918,2458223.874,16.316,0.086,0.957,15.868
2018_0437,2018,0.002935389755293727,2458238.75,50.12633514404297,0.11143077909946442,0.6377718448638916,18.68151092529297,2458241.513,46.101,0.138,0.844,18.672
2018_0556,2018,0.01060282252728939,2458222.0,18.1225528717041,0.4358449876308441,0.7472469806671143,19.29528045654297,2458221.046,28.426,0.245,0.438,19.392
2018_0558,2018,0.002148026367649436,2458224.0,28.614484786987305,0.03068164922297001,0.07885769009590149,18.072755813598633,2458223.998,16.212,0.06,0.162,18.066
2018_0581,2018,9.932035027304664e-05,2458254.75,29.242963790893555,0.9443906545639038,0.7601230144500732,16.381610870361328,2458257.04,37.871,0.698,0.432,16.382
2018_0613,2018,6.951085379114375e-05,2458286.5,39.51020431518555,0.770905077457428,0.8023362159729004,16.23761749267578,2458288.575,45.37,0.683,0.656,16.24
2018_0614,2018,0.0004090940346941352,2458239.0,17.568410873413086,1.0164170265197754,0.747869610786438,17.323274612426758,2458241.526,66.58,0.178,0.054,17.322
2018_0632,2018,0.0009083835757337511,2458229.75,2.0687811374664307,0.8506239652633667,0.7817853093147278,17.757925033569336,2458230.159,4.185,0.305,0.158,17.752
2018_0667,2018,0.0019656301010400057,2458229.75,2.344414472579956,0.4813559651374817,0.44193458557128906,18.18113899230957,2458229.789,9.273,0.079,0.055,18.193
2018_0727,2018,0.00021564502094406635,2458253.5,7.2982401847839355,0.36314907670021057,0.9032927751541138,13.827349662780762,2458253.471,7.108,0.355,0.878,13.821
2018_0741,2018,0.009122075513005257,2458248.75,31.319847106933594,0.23254257440567017,0.4718409776687622,19.6004581451416,2458249.76,37.618,0.194,0.363,19.582
2018_0767,2018,0.0005265173967927694,2458271.75,22.19036102294922,1.032556176185608,0.809114933013916,17.391084671020508,2458275.965,38.723,0.593,0.292,17.397
2018_0780,2018,0.009829219430685043,2458256.75,30.246845245361328,0.03964900225400925,0.19295957684516907,19.298168182373047,2458258.503,25.797,0.012,0.377,19.296
2018_0808,2018,7.700770220253617e-05,2458305.75,27.663976669311523,0.3457046151161194,0.8828240036964417,15.18819522857666,2458305.997,29.806,0.322,0.8,15.194
2018_0827,2018,0.008443282917141914,2458274.75,71.32685852050781,0.4434826970100403,0.932694137096405,19.90703010559082,2458266.771,98.509,0.112,0.091,19.551
2018_0834,2018,0.0014592240331694484,2458332.5,56.96796417236328,0.6323834657669067,0.8099077343940735,18.0655517578125,2458337.921,83.801,0.394,0.403,18.068
2018_1010,2018,0.007268764544278383,2458282.5,11.127630233764648,0.34285813570022583,0.9705681800842285,19.413013458251953,2458281.629,14.87,0.184,0.438,19.396
2018_1046,2018,0.006587328854948282,2458284.5,8.559834480285645,0.1236887127161026,0.8580819964408875,18.43523597717285,2458284.306,11.148,0.086,0.59,18.441
2018_1058,2018,0.00039487986941821873,2458307.75,19.36856460571289,0.8871060609817505,0.7488837838172913,17.21946144104004,2458309.59,91.031,0.136,0.057,17.249
2018_1074,2018,0.0014160660794004798,2458314.75,55.209739685058594,0.02506142482161522,0.9792003631591797,17.974363327026367,2458314.821,58.069,0.023,0.926,17.976
2018_1075,2018,0.0070604062639176846,2458301.5,35.15825653076172,0.2101270705461502,0.4384482204914093,18.815505981445312,2458299.147,94.869,0.026,0.081,18.838
