   573  515.01  316.57 18.190  0.978 17.211   7   1 0.010  218   0 0.017
   574  879.15  318.78 18.306  0.881 17.425   7   1 0.020  217   1 0.019
   576  580.63  319.57 18.256  0.941 17.315   8   0 0.028  216   2 0.017
   580  825.74  326.16 18.595  0.943 17.652   8   0 0.024  215   3 0.021
   583  678.40  336.99 18.786  1.124 17.662   8   0 0.026  219   1 0.029
   588  560.89  353.10 19.208  1.273 17.935   8   0 0.038  218   2 0.024
   589  775.74  357.58 17.999  0.915 17.084   8   0 0.015  219   3 0.013
   593  471.21  362.03 18.751  1.072 17.679   8   0 0.020  218   2 0.023
   594  620.36  364.52 18.871  1.010 17.861   8   0 0.020  221   0 0.025
   595  757.13  365.99 18.799  0.878 17.921   8   0 0.024  219   1 0.023
   596  514.66  367.85 18.360  0.932 17.428   8   0 0.025  219   2 0.019
   599  676.41  369.74 18.712  0.918 17.793   8   0 0.035  219   1 0.032
   605  455.24  377.83 18.799  1.096 17.703   8   0 0.032  220   0 0.019
   611  664.14  391.61 18.978  1.291 17.687   8   0 0.025  217   4 0.018
   615  467.47  394.59 18.745  1.045 17.700   8   0 0.036  220   0 0.034
   616  629.96  394.76 18.586  0.962 17.623   7   1 0.010  219   1 0.021
   619  848.43  401.89 18.606  0.941 17.665   8   0 0.027  217   3 0.018
   627  590.57  408.29 19.392  9.999 99.999   8   0 0.435    0   0 9.999
   629  597.92  412.88 18.901  9.999 99.999   8   0 0.111    0   0 9.999
   630  498.63  413.70 18.399  0.676 17.723   7   1 0.005  220   1 0.031
   632  621.13  418.68 18.852  1.075 17.777   8   0 0.021  219   1 0.022
   637  884.85  424.34 18.789  1.251 17.539   8   0 0.016  217   3 0.017
   640  504.88  426.84 19.052  1.065 17.987   8   0 0.029  221   0 0.040
   641  544.05  431.10 18.706  1.245 17.461   8   0 0.027  219   2 0.019
   644  884.47  435.52 18.588  1.258 17.330   8   0 0.024  218   2 0.015
   645  642.66  437.70 18.480  0.845 17.635   8   0 0.009  218   2 0.022
   649  538.37  445.09 18.276  1.038 17.238   8   0 0.013  220   1 0.017
   652  741.90  450.21 18.498  0.943 17.556   8   0 0.018  219   2 0.019
   653  443.60  452.80 18.060  0.812 17.248   8   0 0.012  221   0 0.015
   654  851.80  452.77 18.398  0.788 17.610   8   0 0.021  220   0 0.023
   658  685.85  459.21 18.431  0.974 17.457   7   1 0.005  220   1 0.019
   659  737.85  458.30 18.784  0.935 17.849   8   0 0.023  218   3 0.022
   663  678.89  463.69 18.889  0.873 18.016   8   0 0.024  220   0 0.045
   667  697.51  475.68 18.314  0.928 17.386   8   0 0.057  221   0 0.053
   671  584.04  482.30 18.442  0.967 17.476   8   0 0.020  220   1 0.017
   672  822.41  482.04 17.907  0.596 17.311   8   0 0.080  221   0 0.088
   674  457.69  485.32 18.184  0.965 17.220   8   0 0.014  220   2 0.014
   678  756.17  489.99 18.939  1.295 17.644   8   0 0.015  218   2 0.017
   682  657.91  493.03 18.899  0.948 17.950   8   0 0.013  216   4 0.026
   683  718.01  495.02 18.474  0.956 17.518   8   0 0.019  220   0 0.018
   686  773.68  498.11 18.796  0.900 17.895   8   0 0.018  219   1 0.025
   691  451.38  503.53 17.873  0.852 17.021   7   1 0.009  218   3 0.013
   698  846.86  517.58 18.710  0.947 17.763   8   0 0.011  218   2 0.023
   699  863.54  518.38 18.703  0.908 17.795   8   0 0.017  219   1 0.022
   703  504.52  523.11 19.508  2.164 17.344   7   0 0.032  220   1 0.018
   704  690.27  522.71 18.086  0.886 17.200   8   0 0.013  219   1 0.014
   709  724.39  528.36 18.739  0.892 17.846   8   0 0.015  217   3 0.024
   712  719.23  534.26 19.223  1.447 17.776   8   0 0.025  220   1 0.026
   713  857.87  535.13 18.487  0.891 17.595   8   0 0.014  217   3 0.019
   714  520.49  535.69 17.805  0.462 17.343   7   1 0.012  219   2 0.014
   719  678.05  544.05 19.786  2.109 17.677   7   0 0.066  219   1 0.029
   720  846.26  543.75 18.577  1.311 17.267   7   1 0.011  220   1 0.016
   723  593.53  551.46 18.038  0.945 17.093   8   0 0.009  221   0 0.015
   726  461.00  556.87 18.140  0.950 17.190   8   0 0.009  217   3 0.013
   730  537.63  560.67 18.677  0.928 17.749   8   0 0.015  220   0 0.021
   731  471.73  563.65 18.647  0.925 17.722   6   2 0.004  216   4 0.021
   732  641.23  564.19 18.576  1.246 17.330   7   1 0.011  220   1 0.018
   738  693.18  574.37 18.326  0.933 17.393   8   0 0.011  219   1 0.015
   739  453.92  576.72 18.038  0.943 17.095   7   1 0.009  220   2 0.014
   741  822.49  579.67 18.390  0.840 17.550   8   0 0.019  219   2 0.018
   742  670.05  582.97 19.836  1.904 17.932   7   0 0.028  218   2 0.024
   743  770.76  586.70 18.581  1.193 17.387   8   0 0.016  218   3 0.016
   745  665.82  587.20 18.959  1.089 17.870   8   0 0.022  220   1 0.023
   749  889.48  598.76 18.284  0.869 17.414   8   0 0.012  222   0 0.017
   753  573.73  601.18 18.497  0.985 17.512   8   0 0.014  218   2 0.018
   754  623.87  599.80 18.963  1.197 17.765   7   1 0.011  218   2 0.022
   755  543.89  602.04 18.572  1.261 17.311   8   0 0.018  220   1 0.017
   757  513.17  604.03 18.735  0.851 17.883   8   0 0.020  218   1 0.026
   758  699.41  603.81 18.883  0.995 17.888   8   0 0.022  216   4 0.024
   762  481.06  606.89 18.273  0.932 17.342   8   0 0.018  220   1 0.017
   765  605.04  611.72 18.706  1.010 17.696   8   0 0.043  218   3 0.020
   771  699.63  631.43 18.662  1.180 17.482   8   0 0.014  219   1 0.017
   779  843.48  648.08 18.237  0.960 17.277   6   2 0.005  219   1 0.016
   781  459.47  651.53 18.807  0.964 17.843   8   0 0.015  218   2 0.024
   787  870.25  658.66 18.317  0.921 17.396   8   0 0.010  219   1 0.018
   788  600.00  662.11 18.770  0.977 17.793   8   0 0.029  219   1 0.024
   789  717.90  662.76 19.082  1.222 17.860   6   1 0.012  219   1 0.025
   790  893.64  664.79 18.596  1.197 17.399   7   1 0.011  219   1 0.033
   793  566.78  667.07 18.296  1.063 17.233   8   0 0.014  218   3 0.014
